"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.505508120E1,2.546548770E1,NaN,NaN,NaN,1.200000000E3,0.000000000E0
9.245943500E-2,6.505750770E1,2.546739670E1,1.721608557E1,NaN,NaN,2.104000092E1,3.552807570E0
3.301691197E0,6.505770527E1,2.546709596E1,5.954326308E1,2.049999952E0,6.059999847E1,1.033655834E1,1.156296062E1
3.687397811E0,6.505770735E1,2.546703343E1,7.101737656E1,1.500000060E-1,2.373000031E2,1.080471039E1,1.231163406E1
4.680265467E0,6.505770175E1,2.546705309E1,7.304850877E1,1.039999962E0,2.926000061E2,7.283543587E0,8.519244194E0
5.679394842E0,6.505769187E1,2.546699334E1,7.218363786E1,1.620000005E0,2.835000000E2,7.755099297E0,8.851126671E0
6.686960102E0,6.505768335E1,2.546695123E1,7.242057500E1,1.259999990E0,2.781000061E2,5.666542530E0,5.632885933E0
7.686697185E0,6.505766371E1,2.546689614E1,6.792796174E1,1.000000000E0,2.533999939E2,5.931981564E0,5.949643612E0
8.676144372E0,6.505765174E1,2.546686078E1,6.715568463E1,1.289999962E0,2.535000000E2,5.590676308E0,5.489086151E0
9.687747861E0,6.505763910E1,2.546682682E1,6.705143771E1,1.559999943E0,2.528999939E2,5.188217640E0,5.008370399E0
1.067496151E1,6.505762520E1,2.546679058E1,6.612706163E1,1.669999957E0,2.536000061E2,4.910822868E0,5.096583366E0
1.168778031E1,6.505760833E1,2.546676786E1,6.328728288E1,1.250000000E0,2.445000000E2,4.647683144E0,5.057174683E0
1.267580927E1,6.505758832E1,2.546676095E1,6.007067601E1,1.179999948E0,2.248000031E2,4.366654873E0,4.815180779E0
1.368105890E1,6.505756563E1,2.546676249E1,5.803455204E1,1.250000000E0,1.941000061E2,4.304560184E0,4.931228161E0
1.469117041E1,6.505754293E1,2.546677339E1,5.561152724E1,1.139999986E0,1.790000000E2,4.448355675E0,5.053573132E0
1.568603307E1,6.505752135E1,2.546678556E1,5.485787471E1,1.169999957E0,1.753999939E2,4.240950108E0,4.895637512E0
1.668912583E1,6.505749936E1,2.546679827E1,5.425351438E1,1.309999943E0,1.746999969E2,4.126036167E0,4.679830074E0
1.767674843E1,6.505747191E1,2.546681659E1,5.260484523E1,1.250000000E0,1.808000031E2,4.114222050E0,4.667956829E0
1.868327551E1,6.505744769E1,2.546682963E1,5.112487544E1,1.210000038E0,1.761999969E2,4.025231361E0,4.525524616E0
1.968153411E1,6.505742678E1,2.546684180E1,4.931250683E1,1.139999986E0,1.830000000E2,3.851804495E0,4.184836864E0
